indexNCT04502056重复_由于各措施对应结局,nctid,outcome_description,participate_group_num,outcome_group_num,group_info,outcome,standard_outcome,standard_outcome_id,outcome_id,"checker (Manually add results if checker is empty,Manually filter if the number of checkers is greater than or equal to 2)",Time_Frame
79,NCT04401579,Change From Baseline in Platelets,O1:493|O2:494|O1:493|O2:494|O1:410|O2:409|O1:269|O2:284|O1:189|O2:199|O1:252|O2:267|O1:260|O2:254,O1:55.9|O2:52.6|O1:116.6|O2:106.1|O1:197.9|O2:158.9|O1:229.9|O2:145.7|O1:175.9|O2:111.6|O1:16.5|O2:36.9,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Platelets,Platelet,indicator_67,outcome_79,"['Platelets', 'Platelet']",Time Frame: 28 and 90 day evaluation 
80,NCT04401579,Change From Baseline in Prothrombin International Normalized Ratio (INR),O1:447|O2:439|O1:447|O2:439|O1:360|O2:370|O1:244|O2:250|O1:162|O2:175|O1:222|O2:241|O1:232|O2:232,O1:-0.03|O2:0.05|O1:0.02|O2:0.08|O1:0.01|O2:0.08|O1:0.04|O2:0.03|O1:-0.04|O2:-0.08|O1:-0.12|O2:-0.03,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Prothrombin International Normalized Ratio (INR),INR,indicator_68,outcome_80,['Prothrombin International Normalized Ratio (INR)'],Time Frame: 24 hours after a 1000 U intranasal dose of heparin 
81,NCT04401579,Change From Baseline in Total Bilirubin,O1:490|O2:491|O1:490|O2:491|O1:407|O2:405|O1:268|O2:284|O1:187|O2:201|O1:250|O2:270|O1:256|O2:254,O1:-0.06|O2:-0.01|O1:-0.04|O2:0.01|O1:-0.06|O2:0.01|O1:-0.08|O2:0.08|O1:-0.10|O2:0.08|O1:-0.10|O2:0.01,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Total Bilirubin,Total Bilirubin,indicator_69,outcome_81,['Total Bilirubin'],Time Frame: Pre-SSI to Immediately Post-SSI; Pre-SSI to 3-month follow-up 
82,NCT04401579,Change From Baseline in White Blood Cell Count (WBC),O1:493|O2:494|O1:493|O2:494|O1:410|O2:409|O1:270|O2:284|O1:189|O2:199|O1:253|O2:267|O1:260|O2:254,O1:-0.831|O2:-0.037|O1:-0.276|O2:0.392|O1:0.663|O2:1.606|O1:1.869|O2:2.938|O1:0.694|O2:2.162|O1:-0.364|O2:0.712,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,White Blood Cell Count (WBC),WBC,indicator_70,outcome_82,['White Blood Cell Count (WBC)'],Time Frame: 0 to 24 hours post dose 
83,NCT04401579,Change From Baseline in Neutrophils,O1:488|O2:493|O1:488|O2:493|O1:408|O2:404|O1:268|O2:282|O1:186|O2:196|O1:249|O2:267|O1:257|O2:253,O1:-1.925|O2:-0.333|O1:-1.334|O2:-0.204|O1:-0.813|O2:1.139|O1:-0.046|O2:1.847|O1:-1.192|O2:1.414|O1:-1.708|O2:-0.656,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Neutrophils,Neutrophils,indicator_71,outcome_83,['Neutrophils'],Time Frame: Day 28 
84,NCT04401579,Change From Baseline in Lymphocytes,O1:488|O2:493|O1:488|O2:493|O1:408|O2:404|O1:268|O2:282|O1:186|O2:196|O1:249|O2:267|O1:257|O2:253,O1:0.503|O2:0.074|O1:0.620|O2:0.205|O1:0.515|O2:0.304|O1:0.541|O2:0.409|O1:0.687|O2:0.718|O1:0.653|O2:0.927,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Lymphocytes,Lymphocytes,indicator_72,outcome_84,['Lymphocytes'],"Time Frame: Baseline, Day 15, Day 29 "
85,NCT04401579,Change From Baseline in Monocytes,O1:487|O2:493|O1:487|O2:493|O1:408|O2:404|O1:268|O2:282|O1:186|O2:196|O1:249|O2:267|O1:257|O2:253,O1:0.004|O2:0.062|O1:0.094|O2:0.153|O1:0.105|O2:0.279|O1:0.210|O2:0.378|O1:0.256|O2:0.329|O1:0.108|O2:0.212,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Monocytes,Monocytes,indicator_73,outcome_85,['Monocytes'],Time Frame: 14 days 
86,NCT04401579,Change From Baseline in Basophils,O1:483|O2:492|O1:483|O2:492|O1:402|O2:402|O1:265|O2:281|O1:185|O2:195|O1:247|O2:265|O1:257|O2:250,O1:0.000|O2:0.001|O1:0.007|O2:0.006|O1:0.011|O2:0.017|O1:0.014|O2:0.022|O1:0.026|O2:0.037|O1:0.022|O2:0.036,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Basophils,Basophils,indicator_74,outcome_86,['Basophils'],Time Frame: From 6th to the end of 10th day 
87,NCT04401579,Change From Baseline in Eosinophils,O1:484|O2:492|O1:484|O2:492|O1:405|O2:403|O1:265|O2:281|O1:185|O2:195|O1:247|O2:264|O1:257|O2:251,O1:0.050|O2:0.039|O1:0.104|O2:0.075|O1:0.088|O2:0.086|O1:0.078|O2:0.115|O1:0.121|O2:0.109|O1:0.192|O2:0.205,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Eosinophils,Eosinophils,indicator_75,outcome_87,['Eosinophils'],"Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 "
88,NCT04401579,Change in National Early Warning Score (NEWS) From Baseline,O1:515|O2:518,O1:-0.5|O2:-0.1|O1:-0.9|O2:-0.4|O1:-1.5|O2:-0.8|O1:-1.8|O2:-1.1|O1:-2.1|O2:-1.2|O1:-2.0|O2:-1.2|O1:-2.2|O2:-1.4,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,National Early Warning Score (NEWS) ,NEWS,indicator_76,outcome_88,['National Early Warning Score (NEWS)'],Time Frame: Up to 28 days 
89,NCT04401579,Percentage of Participants Reporting Grade 3 and 4 Clinical and/or Laboratory Adverse Events (AEs),O1:507|O2:509,O1:40.8|O2:46.8,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Adverse Events,Adverse,indicator_10,outcome_89,"['Adverse Events', 'Adverse', 'Adverse Event']",Time Frame: 22 days after randomization. 
90,NCT04401579,Percentage of Participants Reporting Serious Adverse Events (SAEs),O1:507|O2:509,O1:16.0|O2:21.0,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Adverse Events,Adverse,indicator_10,outcome_90,"['Adverse Events', 'Adverse', 'Adverse Event']",Time Frame: 22 days after randomization. 
91,NCT04401579,Duration of Hospitalization,O1:515|O2:518|O1:515|O2:518|O1:491|O2:481,O1:8|O2:8|O1:8|O2:8,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Hospitalization,Hospitalization,indicator_18,outcome_91,"['Hospitalization', 'hospitalization', 'Hospital']",Time Frame: Day 11 
92,NCT04401579,Duration of New Non-invasive Ventilation or High Flow Oxygen Use,O1:70|O2:82|O1:70|O2:82|O1:65|O2:72,O1:6|O2:4.5|O1:5|O2:4,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,New Non-invasive Ventilation or High Flow Oxygen Use,Oxygen,indicator_8,outcome_92,"['Oxygen', 'New Non-invasive Ventilation or High Flow Oxygen Use', 'Oxygen Use']",Time Frame: Day 28 
93,NCT04401579,Duration of New Oxygen Use,O1:16|O2:29,O1:3|O2:3|O1:3|O2:3,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,New Oxygen Use,Oxygen,indicator_8,outcome_93,"['Oxygen', 'New Oxygen Use', 'Oxygen Use']","Time Frame: Day 0, Day 3, Day 5, and Day 7 "
94,NCT04401579,Duration of New Ventilator or Extracorporeal Membrane Oxygenation (ECMO) Use,O1:46|O2:70|O1:46|O2:70|O1:39|O2:52,O1:16|O2:27|O1:13|O2:20,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,New Ventilator or Extracorporeal Membrane Oxygenation (ECMO) Use,ECMO,indicator_77,outcome_94,"['Oxygen', 'ECMO', 'New Ventilator or Extracorporeal Membrane Oxygenation (ECMO) Use']",Time Frame: after each inhalation during 10 days 
95,NCT04401579,Duration of Oxygen Use,O1:445|O2:446|O1:445|O2:446|O1:421|O2:409,O1:10|O2:12|O1:9|O2:10,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Oxygen Use,Oxygen,indicator_8,outcome_95,"['Oxygen', 'Oxygen Use']",Time Frame: 28 days after randomization 
96,NCT04401579,Percentage of Participants Discontinued or Temporarily Suspended From Investigational Therapeutics,O1:515|O2:518,O1:55|O2:51|O1:0|O2:1|O1:66|O2:59|O1:0|O2:1|O1:2|O2:2|O1:16|O2:18|O1:23|O2:27|O1:30|O2:34|O1:3|O2:4|O1:4|O2:5,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Discontinued or Temporarily Suspended From Investigational Therapeutics,Discontinued,indicator_78,outcome_96,"['Discontinued or Temporarily Suspended From Investigational Therapeutics', 'Discontinued']",Time Frame: Day 1 through Day 29 
97,NCT04401579,Percentage of Participants Requiring New Ventilator or Extracorporeal Membrane Oxygenation (ECMO) Use,O1:461|O2:461,O1:10|O2:15,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,New Ventilator or Extracorporeal Membrane Oxygenation (ECMO) Use,ECMO,indicator_77,outcome_97,"['Oxygen', 'ECMO', 'Participants Requiring New Ventilator or Extracorporeal Membrane Oxygenation (ECMO) Use', 'New Ventilator or Extracorporeal Membrane Oxygenation (ECMO) Use']","Time Frame: from first inhalation until discharge from the clinic, up to 30 days "
98,NCT04401579,Percentage of Participants Requiring New Oxygen Use,O1:70|O2:72,O1:23|O2:40,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,New Oxygen Use,Oxygen,indicator_8,outcome_98,"['Oxygen', 'New Oxygen Use', 'Participants Requiring New Oxygen Use', 'Oxygen Use']","Time Frame: Day 0, Day 3, Day 5, and Day 7 "
99,NCT04401579,Mean Change in the Ordinal Scale,O1:515|O2:518,O1:0.1|O2:0.1|O1:0.0|O2:0.0|O1:-0.3|O2:-0.1|O1:-0.4|O2:-0.2|O1:-2.3|O2:-1.9|O1:-2.7|O2:-2.3|O1:-2.9|O2:-2.5,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Ordinal Scale,Ordinal Scale,indicator_79,outcome_99,"['Ordinal Scale', 'Mean Change', 'ordinal scale']","Time Frame: Day 7, Day 14, Day 21 & Day 30 "
100,NCT04401579,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 15,O1:515|O2:518,O1:2|O2:3|O1:9|O2:16|O1:4|O2:4|O1:8|O2:10|O1:6|O2:3|O1:2|O2:1|O1:34|O2:31|O1:34|O2:32,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Ordinal Scale,Ordinal Scale,indicator_79,outcome_100,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']","Time Frame: Day 7, Day 14, Day 21 & Day 30 "
101,NCT04401579,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 1,O1:515|O2:518,O1:0|O2:0|O1:10|O2:11|O1:20|O2:22|O1:56|O2:53|O1:14|O2:14|O1:0|O2:0|O1:0|O2:0|O1:0|O2:0|O1:0|O2:0|O1:0|O2:0|O1:0|O2:0,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Ordinal Scale,Ordinal Scale,indicator_79,outcome_101,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']","Time Frame: day 7, day 14 ,day 21 & day 30 "
102,NCT04401579,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 3,O1:515|O2:518,O1:0.4|O2:0|O1:15|O2:16|O1:22|O2:22|O1:45|O2:44|O1:16|O2:14|O1:0.2|O2:1|O1:0|O2:0|O1:0|O2:0|O1:0|O2:0|O1:0.2|O2:0.4|O1:1|O2:2,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Ordinal Scale,Ordinal Scale,indicator_79,outcome_102,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']",Time Frame: Pre and Post 1st dose; Pre and Post 2nd dose 
103,NCT04401579,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 5,O1:515|O2:518,O1:1|O2:0|O1:15|O2:18|O1:17|O2:18|O1:35|O2:33|O1:19|O2:15|O1:1|O2:1|O1:0.2|O2:0|O1:0.2|O2:0|O1:0|O2:0.2|O1:10|O2:13|O1:2|O2:3,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Ordinal Scale,Ordinal Scale,indicator_79,outcome_103,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']","Time Frame: Baseline, Day 7, Day 14, Day 21 & Day 30 "
104,NCT04401579,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 8,O1:515|O2:518,O1:1|O2:1|O1:13|O2:18|O1:11|O2:12|O1:18|O2:18|O1:12|O2:10|O1:1|O2:1|O1:0.2|O2:0|O1:0.4|O2:0|O1:0|O2:0.4|O1:40|O2:36|O1:3|O2:4,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Ordinal Scale,Ordinal Scale,indicator_79,outcome_104,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']",Time Frame: up to Day 30 
105,NCT04401579,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 11,O1:515|O2:518,O1:1|O2:2|O1:11|O2:16|O1:6|O2:7|O1:12|O2:10|O1:9|O2:7|O1:1|O2:1|O1:0|O2:0|O1:0.2|O2:0.2|O1:0|O2:1|O1:56|O2:52|O1:3|O2:4,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Ordinal Scale,Ordinal Scale,indicator_79,outcome_105,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']",Time Frame: Up to day 14 
106,NCT04401579,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 22,O1:515|O2:518,O1:4|O2:6|O1:6|O2:9|O1:3|O2:1|O1:3|O2:5|O1:2|O2:3|O1:1|O2:0.4|O1:24|O2:25|O1:44|O2:37|O1:0|O2:0|O1:4|O2:3|O1:9|O2:10,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Ordinal Scale,Ordinal Scale,indicator_79,outcome_106,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']",Time Frame: Up to day 28 
107,NCT04401579,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 29,O1:515|O2:518,O1:5|O2:7|O1:3|O2:7|O1:2|O2:1|O1:2|O2:3|O1:3|O2:1|O1:1|O2:0.2|O1:23|O2:23|O1:49|O2:43|O1:0|O2:0|O1:0.4|O2:1|O1:12|O2:13|O1:0.2|O2:0.2,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Ordinal Scale,Ordinal Scale,indicator_79,outcome_107,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']",Time Frame: 14 days 
108,NCT04401579,14-day Participant Mortality,O1:515|O2:518,O1:0.02|O2:0.03,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Mortality,Death ,indicator_16,outcome_108,['Mortality'],Time Frame: 28 days 
109,NCT04401579,28-day Participant Mortality,O1:515|O2:518,O1:0.05|O2:0.08,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Mortality,Death ,indicator_16,outcome_109,['Mortality'],Time Frame: within 14 days after enrollement 
110,NCT04401579,Time to an Improvement of One Category Using an Ordinal Scale,O1:515|O2:518,O1:6.0|O2:8.0,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Improvement,Improvement,indicator_54,outcome_110,"['Ordinal Scale', 'improvement', 'Improvement', 'ordinal scale']",Time Frame: 15 days 
111,NCT04401579,Time to an Improvement of Two Categories Using an Ordinal Scale,O1:515|O2:518,O1:12.0|O2:13.0,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Improvement,Improvement,indicator_54,outcome_111,"['Ordinal Scale', 'improvement', 'Improvement', 'ordinal scale']",Time Frame: 15 days 
112,NCT04401579,"Time to Discharge or to a NEWS of 2 or Less and Maintained for 24 Hours, Whichever Occurs First",O1:361|O2:334,O1:6.0|O2:7.0,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Discharge,Discharge,indicator_80,outcome_112,"['discharge', 'Discharge']",Time Frame: Day 22 
113,NCT04401579,Change From Baseline in C-reactive Protein (CRP),O1:446|O2:455|O1:446|O2:455|O1:368|O2:367|O1:241|O2:250|O1:159|O2:181|O1:221|O2:240|O1:217|O2:219,O1:-23.035|O2:-18.671|O1:-58.935|O2:-30.908|O1:-78.411|O2:-62.038|O1:-103.789|O2:-88.881|O1:-122.339|O2:-112.588|O1:-131.333|O2:-122.342,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,C-reactive Protein (CRP),CRP,indicator_1,outcome_113,"['C-reactive Protein (CRP)', 'C-reactive Protein']","Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 "
114,NCT04401579,Change From Baseline in D-dimer Concentration,O1:436|O2:432|O1:436|O2:432|O1:352|O2:347|O1:227|O2:230|O1:153|O2:160|O1:215|O2:230|O1:223|O2:206,O1:-0.374|O2:0.384|O1:0.053|O2:-0.149|O1:-0.271|O2:0.351|O1:0.622|O2:0.309|O1:-0.988|O2:-0.422|O1:0.774|O2:-0.219,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,D-dimer Concentration,D-dimer,indicator_51,outcome_114,"['D-dimer', 'D-dimer Concentration']","Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 "
115,NCT04280705,Time to Recovery,O1:521|O2:541,O1:15|O2:10,Placebo|Remdesivir,Time to Recovery ,Recovery,indicator_61,outcome_115,"['Recovery', 'Time to Recovery']","Time Frame: from date of patient admission to date of patient discharge or date of death, whichever came first, assessed up to 45 days "
116,NCT04280705,Change From Baseline in Alanine Transaminase (ALT),O1:463|O2:465|O1:463|O2:465|O1:403|O2:398|O1:327|O2:296|O1:257|O2:227|O1:242|O2:257|O1:180|O2:220,O1:14.3|O2:2.9|O1:23.1|O2:10.8|O1:24.2|O2:8.9|O1:27.7|O2:3.4|O1:28.1|O2:1.7|O1:-3.9|O2:-6.8,Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir,Alanine Transaminase (ALT),ALT,indicator_62,outcome_116,['Alanine Transaminase (ALT)'],Time Frame: From starting to the end of ivermectin therapy (0 to the end of 5th day) 
117,NCT04280705,Change From Baseline in Aspartate Transaminase (AST),O1:438|O2:445|O1:438|O2:445|O1:384|O2:380|O1:315|O2:285|O1:247|O2:219|O1:236|O2:248|O1:170|O2:208,O1:13.7|O2:-2.0|O1:12.8|O2:6.0|O1:13.1|O2:1.1|O1:11.5|O2:-0.3|O1:4.2|O2:-2.3|O1:-18.4|O2:-14.0,Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir,Aspartate Transaminase (AST),AST,indicator_63,outcome_117,['Aspartate Transaminase (AST)'],Time Frame: From starting to the end of ivermectin therapy (0 to the end of 5th day) 
118,NCT04280705,Change From Baseline in Creatinine,O1:475|O2:482|O1:475|O2:482|O1:418|O2:411|O1:335|O2:309|O1:269|O2:234|O1:249|O2:262|O1:189|O2:229,O1:0.037|O2:0.038|O1:-0.695|O2:0.075|O1:-0.882|O2:0.158|O1:1.173|O2:0.236|O1:-1.239|O2:0.319|O1:-1.863|O2:0.075,Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir|Placebo|Remdesivir,Creatinine,Creatinine,indicator_64,outcome_118,['Creatinine'],"Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 "
